gene;sample;mutated;label;year
Copper Res.;113;0;features;2018
Arsenic Res.;113;0;features;2018
IncA/C;113;0;inc-group;2018
IncA/C2;113;0;inc-group;2018
IncFIA;113;0;inc-group;2018
IncFIB;113;0;inc-group;2018
IncFIC;113;0;inc-group;2018
IncFII;113;0;inc-group;2018
IncHI1A;113;0;inc-group;2018
IncHI1B;113;0;inc-group;2018
IncHI2;113;0;inc-group;2018
IncL/M;113;0;inc-group;2018
IncN;113;3;inc-group;2018
IncN2;113;0;inc-group;2018
IncN3;113;0;inc-group;2018
IncP;113;0;inc-group;2018
IncQ1;113;0;inc-group;2018
IncU;113;0;inc-group;2018
IncX3;113;0;inc-group;2018
IncY;113;0;inc-group;2018
Acinetobacter;113;0;organism;2018
Aeromonas;113;0;organism;2018
Citrobacter;113;0;organism;2018
Enterobacter;113;0;organism;2018
Escherichia;113;0;organism;2018
Klebsiella;113;0;organism;2018
Leclercia;113;0;organism;2018
Morganella;113;4;organism;2018
Pantoea;113;0;organism;2018
Proteus;113;0;organism;2018
Pseudomonas;113;0;organism;2018
Raoultella;113;0;organism;2018
Salmonella;113;0;organism;2018
Serratia;113;0;organism;2018
CMY;60;0;β-lactamases;2010
CTX-M;60;0;β-lactamases;2010
DHA;60;0;β-lactamases;2010
FOX;60;0;β-lactamases;2010
GES;60;0;β-lactamases;2010
IMP;60;0;β-lactamases;2010
LAP;60;0;β-lactamases;2010
OXA;60;1;β-lactamases;2010
PSE;60;0;β-lactamases;2010
SHV;60;0;β-lactamases;2010
TEM;60;1;β-lactamases;2010
VEB;60;0;β-lactamases;2010
umuC/D;60;2;features;2010
Plasmid-segregation;60;2;features;2010
Toxin-antitoxin;60;2;features;2010
psiA/B;60;2;features;2010
Transposon;60;2;features;2010
Mercuric Res.;60;2;features;2010
Copper Res.;60;0;features;2010
Arsenic Res.;60;0;features;2010
IncA/C;60;0;inc-group;2010
IncA/C2;60;0;inc-group;2010
IncFIA;60;0;inc-group;2010
IncFIB;60;3;inc-group;2010
IncFIC;60;0;inc-group;2010
IncFII;60;0;inc-group;2010
IncHI1A;60;0;inc-group;2010
IncHI1B;60;0;inc-group;2010
IncHI2;60;0;inc-group;2010
IncL/M;60;0;inc-group;2010
IncN;60;0;inc-group;2010
IncN2;60;0;inc-group;2010
IncN3;60;0;inc-group;2010
IncP;60;0;inc-group;2010
IncQ1;60;0;inc-group;2010
IncU;60;0;inc-group;2010
IncX3;60;0;inc-group;2010
IncY;60;0;inc-group;2010
Acinetobacter;60;0;organism;2010
Aeromonas;60;0;organism;2010
Citrobacter;60;4;organism;2010
Enterobacter;60;0;organism;2010
Escherichia;60;4;organism;2010
Klebsiella;60;4;organism;2010
Leclercia;60;0;organism;2010
Morganella;60;0;organism;2010
Pantoea;60;0;organism;2010
Proteus;60;0;organism;2010
Pseudomonas;60;0;organism;2010
Raoultella;60;0;organism;2010
Salmonella;60;0;organism;2010
Serratia;60;0;organism;2010
CMY;65;0;β-lactamases;2017
CTX-M;65;0;β-lactamases;2017
DHA;65;0;β-lactamases;2017
FOX;65;0;β-lactamases;2017
GES;65;0;β-lactamases;2017
IMP;65;0;β-lactamases;2017
LAP;65;0;β-lactamases;2017
OXA;65;0;β-lactamases;2017
PSE;65;0;β-lactamases;2017
SHV;65;0;β-lactamases;2017
TEM;65;1;β-lactamases;2017
VEB;65;0;β-lactamases;2017
umuC/D;65;2;features;2017
Plasmid-segregation;65;2;features;2017
Toxin-antitoxin;65;2;features;2017
psiA/B;65;2;features;2017
Transposon;65;2;features;2017
Mercuric Res.;65;2;features;2017
Copper Res.;65;0;features;2017
Arsenic Res.;65;0;features;2017
IncA/C;65;0;inc-group;2017
IncA/C2;65;0;inc-group;2017
IncFIA;65;0;inc-group;2017
IncFIB;65;0;inc-group;2017
IncFIC;65;0;inc-group;2017
IncFII;65;0;inc-group;2017
IncHI1A;65;0;inc-group;2017
IncHI1B;65;0;inc-group;2017
IncHI2;65;0;inc-group;2017
IncL/M;65;0;inc-group;2017
IncN;65;0;inc-group;2017
IncN2;65;0;inc-group;2017
IncN3;65;0;inc-group;2017
IncP;65;0;inc-group;2017
IncQ1;65;0;inc-group;2017
IncU;65;0;inc-group;2017
IncX3;65;0;inc-group;2017
IncY;65;0;inc-group;2017
Acinetobacter;65;0;organism;2017
Aeromonas;65;0;organism;2017
Citrobacter;65;0;organism;2017
Enterobacter;65;0;organism;2017
Escherichia;65;0;organism;2017
Klebsiella;65;4;organism;2017
Leclercia;65;0;organism;2017
Morganella;65;0;organism;2017
Pantoea;65;0;organism;2017
Proteus;65;0;organism;2017
Pseudomonas;65;0;organism;2017
Raoultella;65;0;organism;2017
Salmonella;65;0;organism;2017
Serratia;65;0;organism;2017
CMY;11;0;β-lactamases;2017
CTX-M;11;1;β-lactamases;2017
DHA;11;0;β-lactamases;2017
FOX;11;0;β-lactamases;2017
GES;11;0;β-lactamases;2017
IMP;11;0;β-lactamases;2017
LAP;11;0;β-lactamases;2017
OXA;11;0;β-lactamases;2017
PSE;11;0;β-lactamases;2017
SHV;11;0;β-lactamases;2017
TEM;11;1;β-lactamases;2017
VEB;11;0;β-lactamases;2017
umuC/D;11;2;features;2017
Plasmid-segregation;11;2;features;2017
Toxin-antitoxin;11;2;features;2017
psiA/B;11;2;features;2017
Transposon;11;2;features;2017
Mercuric Res.;11;2;features;2017
Copper Res.;11;0;features;2017
Arsenic Res.;11;0;features;2017
IncA/C;11;0;inc-group;2017
IncA/C2;11;0;inc-group;2017
IncFIA;11;0;inc-group;2017
IncFIB;11;0;inc-group;2017
IncFIC;11;0;inc-group;2017
IncFII;11;0;inc-group;2017
IncHI1A;11;0;inc-group;2017
IncHI1B;11;0;inc-group;2017
IncHI2;11;0;inc-group;2017
IncL/M;11;0;inc-group;2017
IncN;11;0;inc-group;2017
IncN2;11;0;inc-group;2017
IncN3;11;0;inc-group;2017
IncP;11;0;inc-group;2017
IncQ1;11;0;inc-group;2017
IncU;11;0;inc-group;2017
IncX3;11;0;inc-group;2017
IncY;11;0;inc-group;2017
Acinetobacter;11;0;organism;2017
Aeromonas;11;0;organism;2017
Citrobacter;11;0;organism;2017
Enterobacter;11;0;organism;2017
Escherichia;11;0;organism;2017
Klebsiella;11;4;organism;2017
Leclercia;11;0;organism;2017
Morganella;11;0;organism;2017
Pantoea;11;0;organism;2017
Proteus;11;0;organism;2017
Pseudomonas;11;0;organism;2017
Raoultella;11;0;organism;2017
Salmonella;11;0;organism;2017
Serratia;11;0;organism;2017
CMY;48;0;β-lactamases;2016
CTX-M;48;1;β-lactamases;2016
DHA;48;0;β-lactamases;2016
FOX;48;0;β-lactamases;2016
GES;48;0;β-lactamases;2016
IMP;48;0;β-lactamases;2016
LAP;48;0;β-lactamases;2016
OXA;48;0;β-lactamases;2016
PSE;48;0;β-lactamases;2016
SHV;48;1;β-lactamases;2016
TEM;48;1;β-lactamases;2016
VEB;48;0;β-lactamases;2016
umuC/D;48;2;features;2016
Plasmid-segregation;48;2;features;2016
Toxin-antitoxin;48;2;features;2016
psiA/B;48;2;features;2016
Transposon;48;2;features;2016
Mercuric Res.;48;2;features;2016
Copper Res.;48;0;features;2016
Arsenic Res.;48;0;features;2016
IncA/C;48;0;inc-group;2016
IncA/C2;48;0;inc-group;2016
IncFIA;48;0;inc-group;2016
IncFIB;48;0;inc-group;2016
IncFIC;48;0;inc-group;2016
IncFII;48;0;inc-group;2016
IncHI1A;48;0;inc-group;2016
IncHI1B;48;0;inc-group;2016
IncHI2;48;0;inc-group;2016
IncL/M;48;0;inc-group;2016
IncN;48;0;inc-group;2016
