gene;sample;mutated;label
stbA/B/C;79;0;plasmid-stability
vagC/D;79;0;plasmid-stability
psiA/B;79;2;plasmid-stability
IncA/C;79;0;inc-group
IncA/C2;79;0;inc-group
IncFIA;79;0;inc-group
IncFIB;79;0;inc-group
IncFIC;79;0;inc-group
IncFII;79;3;inc-group
IncHI1A;79;0;inc-group
IncHI1B;79;0;inc-group
IncHI2;79;0;inc-group
IncI1;79;0;inc-group
IncI2;79;0;inc-group
IncL/M;79;0;inc-group
IncN;79;0;inc-group
IncN2;79;0;inc-group
IncN3;79;0;inc-group
IncP;79;0;inc-group
IncQ1;79;0;inc-group
IncQ2;79;0;inc-group
IncR;79;0;inc-group
IncU;79;0;inc-group
IncX3;79;0;inc-group
IncY;79;0;inc-group
Acinetobacter;79;0;organism
Aeromonas;79;0;organism
Citrobacter;79;0;organism
Enterobacter;79;0;organism
Escherichia;79;0;organism
Klebsiella;79;4;organism
Leclercia;79;0;organism
Morganella;79;0;organism
Pantoea;79;0;organism
Proteus;79;0;organism
Pseudomonas;79;0;organism
Raoultella;79;0;organism
Salmonella;79;0;organism
Serratia;79;0;organism
blaCMY;99;0;beta-lactamase
blaCTX-M;99;0;beta-lactamase
blaDHA;99;0;beta-lactamase
blaFOX;99;0;beta-lactamase
blaGES;99;0;beta-lactamase
blaIMP;99;0;beta-lactamase
blaLAP;99;0;beta-lactamase
blaOXA;99;1;beta-lactamase
blaPSE;99;0;beta-lactamase
blaSHV;99;0;beta-lactamase
blaTEM;99;1;beta-lactamase
blaVEB;99;0;beta-lactamase
parA/B/M;99;0;plasmid-stability
stbA/B/C;99;0;plasmid-stability
vagC/D;99;0;plasmid-stability
psiA/B;99;0;plasmid-stability
IncA/C;99;0;inc-group
IncA/C2;99;0;inc-group
IncFIA;99;0;inc-group
IncFIB;99;0;inc-group
IncFIC;99;0;inc-group
IncFII;99;0;inc-group
IncHI1A;99;0;inc-group
IncHI1B;99;0;inc-group
IncHI2;99;0;inc-group
IncI1;99;0;inc-group
IncI2;99;0;inc-group
IncL/M;99;0;inc-group
IncN;99;0;inc-group
IncN2;99;0;inc-group
IncN3;99;0;inc-group
IncP;99;0;inc-group
IncQ1;99;0;inc-group
IncQ2;99;0;inc-group
IncR;99;0;inc-group
IncU;99;0;inc-group
IncX3;99;0;inc-group
IncY;99;0;inc-group
Acinetobacter;99;0;organism
Aeromonas;99;0;organism
Citrobacter;99;0;organism
Enterobacter;99;0;organism
Escherichia;99;0;organism
Klebsiella;99;4;organism
Leclercia;99;0;organism
Morganella;99;0;organism
Pantoea;99;0;organism
Proteus;99;0;organism
Pseudomonas;99;0;organism
Raoultella;99;0;organism
